"Submit_ID","Brand_Reg","Model_No","SoldIn","Country","screensize_inches","Screen_Area","Screen_Tech","Avg_mode_power","Labelled energy consumption (kWh/year)","Star2","SubmitStatus","ExpDate","Product Class","Availability Status","Power supply","Tuner Type","What test standard was used","Registration Number","Regulatory Standard","screensize","screensize (S/M/L)","Act_stnd_power","Pasv_stnd_power","Act_stnd_time","Product Website","Star Rating Index","Star Image Large"
166064,"AIWA","AWS580G","Australia","China",58,9169.4,"LCD",82.5,331,5.5,"Approved","2030-03-10","Single product class","Available","Internal","unknown","AS/NZS 62087.1:2010","ATV6631","Greenhouse and Energy Minimum Standards (Televisions) Determination 2013",146.088,"Large","0.33","0.33","7.0","N/A",5.590070246580223,"https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_5.5_Star.eps"
166115,"PRISM+","M55","Australia","China",55,8230.118400000001,"LCD (LED)",79.3,320,5,"Approved","2029-12-18","Single product class","Available","Internal","Analogue/Digital","AS/NZS 62087.1:2010","ATV6412","Greenhouse and Energy Minimum Standards (Televisions) Determination 2013",138.783,"Large","-","-","-","N/A",5.293361671010193,"https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_5_Star.eps"
166222,"QBELL","QTU70T","Australia,Fiji,New Zealand","China",70,13380.468019200001,"LCD (LED)",147.1,690,3.5,"Approved","2030-01-07","Single product class","Available","Internal","Analogue/Digital","AS/NZS 62087.1:2010","ATV6462","Greenhouse and Energy Minimum Standards (Televisions) Determination 2013",176.538,"Large","0.46","0.45","7.0","http://www.ayonz.com/",3.8905659403682784,"https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_3.5_Star.eps"
166671,"KONIC","KKD32GS376AM","New Zealand","China",32,2736.7112736,"LCD (LED)",31.2,116,5.5,"Approved","2124-12-24","Single product class","Available","Internal","Digital","AS/NZS 62087.1:2010","ZTV0718","AS/NZS 62087.2.2:2011",80.039,"Medium","0.0","0.4","0.0","N/A",5.561680559205171,"https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_5.5_Star.eps"
166765,"HISENSE","55S7NAU","Australia","China",55,8230.118400000001,"LCD (LED)",87.99,381,4.5,"Approved","2030-01-21","Single product class","Available","Internal","Analogue/Digital","AS/NZS 62087.1:2010","ATV6480","Greenhouse and Energy Minimum Standards (Televisions) Determination 2013",138.783,"Large","0.0","0.35","0.0","http://global.hisense.com/",4.511450751759631,"https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4.5_Star.eps"
166797,"HYUNDAI","H50UHDQLDZEN","Australia,Fiji,New Zealand","China",50,6754.867344,"LCD (LED)",58.81,217,6,"Approved","2030-01-23","Single product class","Available","Internal","Digital","AS/NZS 62087.1:2010","ATV6501","Greenhouse and Energy Minimum Standards (Televisions) Determination 2013",125.731,"Large","-","-","-","N/A",6.224906673553365,"https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_6_Star.eps"
166999,"TCL","65P7K","Australia,Fiji,New Zealand","China",64,11466.84,"LCD (LED)",75,320,6,"Approved","2030-03-11","Single product class","Available","Internal","Analogue/Digital","AS/NZS 62087.1:2010","ATV6635","Greenhouse and Energy Minimum Standards (Televisions) Determination 2013",163.829,"Large","0.0","0.337","0.0","http://www.tclelectronics.com.au/",6.679352863107162,"https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_6_Star.eps"
167016,"SAMSUNG ELECTRONICS","UA43TU8000W","Australia,Fiji,New Zealand","Vietnam",42,4977.889999999999,"LCD (LED)",69,255,4,"Approved","2030-02-09","Single product class","Available","Internal","Digital","N/A","ATV6559","Greenhouse and Energy Minimum Standards (Televisions) Determination 2013",107.95,"Medium","0.0","0.5","0.0","http://www.samsung.com.au",4.281582860753533,"https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps"
167179,"SAMSUNG","QA55QN80FAW","Australia,Fiji,New Zealand","Vietnam",55,8230.118400000001,"LCD (LED)",107,394,4,"Approved","2030-02-25","Single product class","Available","Internal","Digital","N/A","ATV6610","Greenhouse and Energy Minimum Standards (Televisions) Determination 2013",138.783,"Large","0.0","0.5","0.0","http://www.samsung.com.au",4.361092231544146,"https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps"
167238,"SKYWORTH","24LP60G","Australia,Fiji,New Zealand","China",24,1562.41008,"LCD (LED)",16.33,76,5.5,"Approved","2030-02-17","Single product class","Available","EPS","Analogue/Digital","AS/NZS 62087.1:2010","ATV6562","Greenhouse and Energy Minimum Standards (Televisions) Determination 2013",60.469,"Small","-","-","-","N/A",5.583285571635198,"https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_5.5_Star.eps"
167265,"MONSTER","MT24HDNFB","Australia","China",24,1529.038,"LCD (LED)",15.38,59,6,"Approved","2030-02-20","Single product class","Available","Internal","Digital","AS/NZS 62087.1:2010","ATV6575","Greenhouse and Energy Minimum Standards (Televisions) Determination 2013",59.827,"Small","0.0","0.5","0.0","N/A",6.651375912212433,"https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_6_Star.eps"
167441,"EMETE","EME-1001TE","Australia,New Zealand","China",100,27304.2576,"LCD (LED)",320,1201,4,"Approved","2030-02-26","Single product class","Available","Internal","Analogue/Digital","AS/NZS 62087.1:2010","ATV6620","Greenhouse and Energy Minimum Standards (Televisions) Determination 2013",252.784,"Large","-","-","-","N/A",4.488111325276538,"https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps"
167445,"BAUHN","ATV43FHDW-0325","Australia","China",43,5109.25,"LCD",39.8,172,6,"Approved","2030-02-20","Single product class","Available","Internal","Analogue/Digital","AS/NZS 62087.1:2010","ATV6578","Greenhouse and Energy Minimum Standards (Televisions) Determination 2013",109.465,"Medium","0.0","0.35","0.0","http://www.tempoaustralia.com",6.148719852583788,"https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_6_Star.eps"
167720,"EKO","K50USW3","Australia,Fiji,New Zealand","China",50,6754.867344,"LCD (LED)",69.5,284,5,"Approved","2030-03-11","Single product class","Available","Internal","Analogue/Digital","AS/NZS 62087.1:2010","ATV6639","Greenhouse and Energy Minimum Standards (Televisions) Determination 2013",125.731,"Large","-","-","-","http://www.ayonz.com/",5.0190601095993035,"https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_5_Star.eps"
167751,"BLAUPUNKT","BP400FTS","Australia,Fiji,New Zealand","China",40,4259.3616,"LCD",59.75,230,4,"Approved","2030-03-11","Single product class","Available","Internal","Analogue/Digital","AS/NZS 62087.1:2010","ATV6637","Greenhouse and Energy Minimum Standards (Televisions) Determination 2013",100.335,"Medium","-","-","-","http://www.ayonz.com/",4.137683428870206,"https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps"
167807,"KOGAN","KAL24DH5400QA","Australia,Fiji,New Zealand","China,Vietnam",24,1528.8696280800002,"LCD (LED)",20.83,85,5,"Approved","2030-03-12","Single product class","Available","EPS","Digital","AS/NZS 62087.1:2010","ATV6641","Greenhouse and Energy Minimum Standards (Televisions) Determination 2013",59.816,"Small","-","-","-","http://www.kogan.com/au/",5.014809056072118,"https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_5_Star.eps"
167795,"LG","65QNED93ASA","Australia,Fiji,New Zealand","China",65,11478.122496000002,"LCD (LED)",159.1,678,3,"Approved","2030-03-12","Single product class","Available","Internal","Analogue/Digital","AS/NZS 62087.1:2010","ATV6642","Greenhouse and Energy Minimum Standards (Televisions) Determination 2013",163.896,"Large","0.34","0.33","7.0","N/A",3.3187384664494495,"https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_3_Star.eps"
168011,"LINSAR","LS70UHDNF23","Australia","China",70,13380.8032,"LCD (LED)",108.29,397,6,"Approved","2030-03-13","Single product class","Available","Internal","Analogue/Digital","AS/NZS 62087.1:2010","ATV6645","Greenhouse and Energy Minimum Standards (Televisions) Determination 2013",176.537,"Large","-","-","-","N/A",6.367801412715387,"https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_6_Star.eps"
 
